16 1 1 2 2 3 3 1 1524    0 
16 1 1 3 3 4 4 1  644    0 
16 1 1 0 0 1 1 1  514    0 
16 1 1 1 1 2 2 1  932    0 
16 1 1 1 1 2 2 1  446    0 
16 1 1 0 0 1 1 1  508    0 
16 1 1 2 2 3 3 1  534    0 
16 1 1 0 0 1 1 1  416    0 
16 1 1 2 2 3 3 1  542    0 
16 1 1 0 0 1 1 1  391    0 
16 1 0 0 2 1 1 1  559    0 
16 1 1 0 0 1 1 1  407    0 
16 1 0 3 1 4 4 1  654    0 
16 1 1 3 3 4 4 1  459    0 
16 1 1 3 3 4 4 1  367    0 
16 1 0 3 1 4 4 1  495    0 
16 1 0 3 1 4 4 1  411    0 
16 1 1 2 2 3 3 1  489    0 
16 1 0 2 0 3 3 1  437    0 
16 1 1 0 0 1 1 1  514    0 
16 1 0 1 3 2 2 1  557    0 
16 1 1 1 1 2 2 1  381    0 
16 1 0 3 1 4 3 0  557    0 
16 1 1 2 2 3 3 1  620    0 
16 1 0 2 0 3 3 1  514    0 
16 1 1 1 1 2 2 1  541    0 
16 1 1 2 2 3 3 1  590    0 
16 1 0 0 2 1 1 1  949    0 
16 1 0 1 3 2 2 1  535    0 
16 1 1 0 0 1 1 1  456    0 
16 1 0 0 2 1 1 1  453    0 
16 1 1 2 2 3 3 1  689    0 
16 1 1 1 1 2 2 1  701    0 
16 1 0 1 3 2 2 1  463    0 
16 1 0 2 0 3 1 0  516    0 
16 1 1 3 3 4 4 1  589    0 
16 1 1 3 3 4 4 1  484    0 
16 1 1 1 1 2 2 1  591    0 
16 1 1 1 1 2 2 1  447    0 
16 1 0 1 3 2 2 1  508    0 
16 1 0 2 0 3 3 1  566    0 
16 1 0 3 1 4 4 1  598    0 
16 1 1 0 0 1 1 1  550    0 
16 1 0 0 2 1 1 1  486    0 
16 1 1 2 2 3 2 0  506    0 
16 1 1 2 2 3 3 1  386    0 
16 1 0 3 1 4 4 1  594    0 
16 1 0 1 3 2 2 1  601    0 
16 1 0 1 3 2 2 1  464    0 
16 1 0 2 0 3 3 1  684    0 
16 1 1 0 0 1 1 1  552    0 
16 1 1 3 3 4 4 1  544    0 
16 1 0 1 3 2 2 1  594    0 
16 1 0 3 1 4 4 1  665    0 
16 1 0 3 1 4 4 1  446    0 
16 1 0 1 3 2 2 1  579    0 
16 1 0 0 2 1 3 0  491    0 
16 1 1 3 3 4 4 1  532    0 
16 1 1 1 1 2 2 1  566    0 
16 1 0 3 1 4 4 1  630    0 
16 1 0 3 1 4 4 1  524    0 
16 1 0 1 3 2 2 1  614    0 
16 1 1 1 1 2 2 1  421    0 
16 1 1 0 0 1 1 1  603    0 
16 1 1 3 3 4 4 1  578   11 
16 1 0 2 0 3 1 0  442    0 
16 1 1 1 1 2 2 1  413    0 
16 1 1 0 0 1 1 1  515    0 
16 1 0 1 3 2 2 1  598    0 
16 1 0 1 3 2 2 1  397    0 
16 1 1 2 2 3 3 1  501    0 
16 1 1 2 2 3 3 1  471    0 
16 1 0 0 2 1 1 1  619    0 
16 1 1 3 3 4 4 1  481    0 
16 1 1 2 2 3 3 1  597    0 
16 1 1 0 0 1 1 1  541    0 
16 1 1 1 1 2 2 1  526    0 
16 1 0 3 1 4 4 1  648    0 
16 1 1 3 3 4 4 1  469    0 
16 1 1 3 3 4 4 1  401    0 
16 1 0 0 2 1 3 0  472    0 
16 1 1 1 1 2 2 1  538    0 
16 1 0 2 0 3 1 0  595    0 
16 1 0 1 3 2 2 1  617    0 
16 1 1 2 2 3 3 1  559    0 
16 1 0 2 0 3 3 1  551    0 
16 1 0 2 0 3 3 1  544    0 
16 1 1 3 3 4 4 1  561    0 
16 1 0 2 0 3 1 0  522   11 
16 1 1 1 1 2 2 1  578    0 
16 1 1 2 2 3 3 1  938    0 
16 1 0 0 2 1 1 1  595    0 
16 1 1 2 2 3 3 1  579    0 
16 1 0 2 0 3 3 1  587    0 
16 1 0 2 0 3 3 1  498    0 
16 1 0 0 2 1 2 0  597    0 
16 1 1 0 0 1 1 1  434    0 
16 1 1 2 2 3 3 1  592    0 
16 1 0 1 3 2 2 1 1055    0 
16 1 1 0 0 1 1 1  580    0 
